iter	RMSE
0	3.06674218
1	3.023763884
2	2.983077557
3	2.944288447
4	2.907858916
5	2.872385822
6	2.840628278
7	2.807218263
8	2.775465297
9	2.746681503
10	2.718172999
11	2.690409579
12	2.664182326
13	2.639272252
14	2.61547866
15	2.592021938
16	2.569464346
17	2.548246792
18	2.527718737
19	2.507950348
20	2.489203645
21	2.470776093
22	2.453634698
23	2.436815998
24	2.421883598
25	2.407674642
26	2.394726475
27	2.381475077
28	2.368888164
29	2.356903311
30	2.344732512
31	2.334227538
32	2.323470657
33	2.31229329
34	2.301949707
35	2.292573224
36	2.283457129
37	2.275213052
38	2.266505947
39	2.258280124
40	2.250196324
41	2.242032379
42	2.235234793
43	2.228294113
44	2.221512962
45	2.215670916
46	2.209585622
47	2.203608244
48	2.198723663
49	2.193329551
50	2.188015076
51	2.183039091
52	2.177474728
53	2.172689201
54	2.168634546
55	2.164322631
56	2.160182624
57	2.156132609
58	2.151987557
59	2.148184893
60	2.144098582
61	2.140013865
62	2.136781971
63	2.13350694
64	2.130321822
65	2.1273826
66	2.124568296
67	2.122227075
68	2.118767106
69	2.115503181
70	2.112501446
71	2.10954458
72	2.106218302
73	2.103820286
74	2.101310758
75	2.099244969
76	2.096689686
77	2.094410572
78	2.092543956
79	2.090040057
80	2.087359302
81	2.085888193
82	2.084296188
83	2.082251491
84	2.080029207
85	2.077743245
86	2.076251081
87	2.074515679
88	2.073206102
89	2.070753864
90	2.068518392
91	2.066940234
92	2.065103136
93	2.063416647
94	2.061740675
95	2.060488196
96	2.05896447
97	2.057219792
98	2.056162204
99	2.054541218
100	2.0532401
101	2.052151249
102	2.050740074
103	2.049322156
104	2.047940673
105	2.047097296
106	2.045843504
107	2.045054423
108	2.043235558
109	2.041834409
110	2.041024251
111	2.039507892
112	2.038172697
113	2.037242287
114	2.036326579
115	2.035559942
116	2.034588547
117	2.033302117
118	2.032252962
119	2.031689629
120	2.030803665
121	2.029540185
122	2.028053386
123	2.027371423
124	2.026274767
125	2.025121287
126	2.023691643
127	2.022688894
128	2.021699079
129	2.021264972
130	2.019293721
131	2.017501479
132	2.0169443
133	2.016140386
134	2.015674907
135	2.014736019
136	2.014133586
137	2.012959615
138	2.012524907
139	2.011136538
140	2.009487388
141	2.008412834
142	2.008102862
143	2.006834494
144	2.006133232
145	2.004745006
146	2.003731845
147	2.002459641
148	2.001374817
149	2.00072343
