iter	Passed	Remaining
0	11	1712
1	20	1539
2	32	1577
3	41	1520
4	52	1521
5	61	1470
6	71	1470
7	82	1461
8	91	1431
9	102	1433
10	112	1426
11	122	1407
12	133	1407
13	142	1382
14	153	1382
15	163	1371
16	174	1363
17	184	1351
18	193	1332
19	204	1327
20	215	1322
21	225	1314
22	235	1300
23	246	1293
24	254	1274
25	266	1271
26	277	1263
27	287	1254
28	298	1244
29	308	1235
30	319	1226
31	330	1218
32	339	1202
33	349	1193
34	359	1181
35	370	1171
36	379	1159
37	390	1150
38	400	1139
39	411	1130
40	423	1125
41	433	1114
42	443	1104
43	454	1095
44	465	1085
45	474	1073
46	485	1064
47	494	1050
48	505	1042
49	514	1029
50	526	1021
51	536	1010
52	546	1000
53	554	986
54	565	976
55	574	963
56	585	955
57	593	942
58	605	934
59	616	924
60	626	913
61	638	905
62	648	895
63	659	885
64	669	875
65	687	874
66	696	862
67	706	851
68	715	839
69	726	830
70	736	819
71	745	807
72	756	798
73	767	788
74	777	777
75	787	766
76	796	755
77	806	744
78	814	732
79	825	722
80	835	711
81	845	700
82	856	691
83	865	680
84	876	670
85	884	658
86	895	648
87	904	637
88	915	627
89	924	616
90	935	606
91	944	595
92	955	585
93	965	575
94	976	565
95	986	554
96	997	545
97	1006	534
98	1017	524
99	1029	514
100	1038	504
101	1050	494
102	1061	484
103	1074	475
104	1085	465
105	1094	454
106	1109	445
107	1119	435
108	1131	425
109	1141	414
110	1152	405
111	1163	394
112	1173	384
113	1185	374
114	1194	363
115	1206	353
116	1218	343
117	1228	333
118	1240	323
119	1251	312
120	1262	302
121	1273	292
122	1285	282
123	1298	272
124	1307	261
125	1320	251
126	1332	241
127	1342	230
128	1353	220
129	1362	209
130	1374	199
131	1395	190
132	1422	181
133	1456	173
134	1482	164
135	1503	154
136	1530	145
137	1544	134
138	1566	123
139	1581	112
140	1596	101
141	1608	90
142	1625	79
143	1644	68
144	1659	57
145	1672	45
146	1691	34
147	1719	23
148	1736	11
149	1750	0
