id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
21972,Like Mike,Family-Comedy-Fantasy,en,Calvin and his friends who all live in an orphanage find old shoes with the faded letters MJ connected to a powerline. One stormy night they go to get the shoes when Calvin and the shoes are struck by lightning. Calvin now has unbelievable basketball powers and has the chance to play for the NBA.,1.0,20th Century Fox-Heller Highwater Productions-NBA Entertainment-Josephson Entertainment-Like Mike Productions,2002-07-03,0.4477611857874803,0.6556499684509228,0.4563106796116504,"Think like Mike, Achieve like Mike, Be Like Mike.",0.4693877551020408,0.2729774353329664,Shad Moss-Morris Chestnut-Jonathan Lipnicki-Brenda Song-Jesse Plemons-Julius Ritter-Crispin Glover-Anne Meara-Robert Forster-Eugene Levy-Roger W. Morrissey-Timon Kyle Durrett-Stephen Thompson-Alex Krilov-David Brown-Peter Moret-Josef Cannon-Kingsley Nwokenbia-Justice J. Smith-Gregory L. Hall-Laurent Crawford-Vince Carter-Michael Finley-Steve Francis-Allen Iverson-Jason Kidd-Desmond Mason-Tracy McGrady-Alonzo Mourning-Steve Nash-Dirk Nowitzki-Gary Payton-Jason Richardson-David Robinson-Rasheed Wallace-Gerald Wallace-Chris Webber-Pat Croce-Rich Eisen-Kenny Mayne-Hannah Storm-Tom Tolbert-Reggie Theus-Geoff Witcher-Reginald VelJohnson-Valarie Pettiford-Roqui Theus-Sandra Prosper-Doug MacMillan-Vanessa Williams-Basil Wallace-Courtney Black-Christine Mitges-Stephen Holland-Fred Armisen-Julie Brown-Corey Holcomb-Nona D. Simpson-Sterfon Demings-Keiann Collins-Tucker Smallwood-James McManus-Sarah Whalen-Rick Ducommun-Arielle Peterson-April Peterson-Miles Koules-Jonathan Wright-Sybil Azur-Kimi Bateman-Diana Carreno-Faune Chambers Watkins-Karen Elmore-Staci B. Flood-Stacey Harper-Sandra McCoy-Udee McGeoy-Sarah Christine Smith-Addie Yungmee-Hayley Zelniker-Janelle Pierzina-Lisa Pasinelli-Ryan Thomas-Robert D Morrison Jr.-Jon Edwin Wright-Dwayne Foster-Tyrone Merriweather-Sloan Fischer-Coltrane Isaac Marcus-Bobby Hall-Curtis McCoy-Joe Crawford-James Platt-Charlie Schultz-Lance Barber-John Eric Brown-Ray Buffer-Susan Chuang-Peter Cornell-Joel Ewing-André Gordon-John Marshall Jones-Jimmy Kimmel-Charles McClelland-Sunni-Ali Powell-Vincent Riviezzo-Tyler Romary-John Thompson-Craig Tsuyumine-David Von Roehm-Gary C. Warren-Wayne Witherspoon-Val Tasso-Ahmad Rashād-Xica Brewer,bet-lightning-sports-orphanage-bullying-basketball-los angeles california-nba,/zXTM3qAXVYAYrhfYBpmescKMoes.jpg,/lh0uM88KjXsmRzWXUGAGWJ0AOJR.jpg,26655-203534-224303-10859-594404-14846-11374-15983-538604-345934-33875-9975-11469-14008-10622-9787-103620-4953-10923-20856
1687,Escape from the Planet of the Apes,Action-Science Fiction,en,The world is shocked by the appearance of three talking chimpanzees who arrived mysteriously in a spacecraft. Intrigued by their intelligence humans use them for research - until the apes attempt to escape.,0.99991170757549,APJAC Productions-20th Century Fox,1971-05-20,0.037313418467364454,0.13049854066837904,0.44660194174757273,Meet baby Milo who has Washington terrified.,0.5102040816326531,0.5063291139240507,Roddy McDowall-Kim Hunter-Bradford Dillman-Natalie Trundy-Eric Braeden-William Windom-Sal Mineo-Albert Salmi-Jason Evers-John Randolph-Harry Lauter-M. Emmet Walsh-Roy Glenn-Peter Forster-Norman Burton-William Woodson-Tom Lowell-Gene Whittington-Donald Elson-Bill Bonds-Army Archerd-James Bacon-Ricardo Montalban-John Alderman-Alan Baxter-Jack Berle-Paul Bradley-Karl Bruck-Jeff Burton-Sam Chew Jr.-Robert Cole-Walker Edmiston-James Franciscus-Sig Frohlich-James W. Gavin-George Golden-James Gonzalez-Joe Gray-Robert Gunner-Bob Harks-Linda Harrison-Elizabeth Harrower-Shep Houghton-Joseph La Cava-Robert Nichols-Ron Pinkard-Janos Prohaska-Tony Regan-Stephen Roberts-Hank Robinson-James B. Sikking-Jack Slate-Arthur Tovey-William Tregoe-William Beckley,spacecraft-dystopia-pacifism-politician-sequel-cage-chimpanzee-tease-caving,/AnbLVdUEroTfHTUVAJCxkL4R0IH.jpg,/6JxJminJvYIVXbTakYJkbnga14P.jpg,1688-1705-1685-871-31067-869-811-2161-11234-18462-8974-119450-2134-61791-152-281338-551-157-168-172-11884
734002,The Peasants,Drama-History,pl,Peasant girl Jagna is forced to marry the much older wealthy farmer Boryna despite her love for his son Antek. With time Jagna becomes the object of envy and disdain with the villagers and she must fight to preserve her independence.,0.996262287362411,Breakthru Films-ArtShot-DigitalKraft-Canal+ Polska-Narodowe Centrum Kultury-MIK-SKP Ślusarek Kubiak Pieczyk-MFF,2023-10-13,0.1115671509189127,0.10325348463756322,0.6116504854368932,Love comes and goes but land stays.,0.816326530612245,0.04788112272977435,Kamila Urzędowska-Robert Gulaczyk-Mirosław Baka-Ewa Kasprzyk-Sonia Mietielica-Andrzej Konopka-Małgorzata Kożuchowska-Sonia Bohosiewicz-Julia Wieniawa-Dorota Stalińska-Maciej Musiał-Mateusz Rusin-Lech Dyblik-Helena Korczycka-Cezary Łukaszewicz-Cyprian Grabowski-Andrzej Mastalerz-Anna Grzeszczak-Klara Bielawka-Piotr Srebrowski-Mariusz Kiljan-Jarosław Gruda-Małgorzata Maślanka-Mariusz Urbaniec-Szymon Kukla-Andrzej Luter-Tomasz Więcek-Jadwiga Wianecka-Marek Pyś-Matt Malecki,adultery-based on novel or book-peasant-nobel prize-poland-marriage for money-adult animation-historical drama-19th century-peasant girl-peasants,/vxwdArOG3R5AUHdvmwE4e7MLc0z.jpg,/rhFFbdRxSw25LvylJMbkOGljy2d.jpg,153917-84903-385152-1015622-1077670-118737-953661-3031-1062644-753336-942199-1000862-72478-558915-5544-1081676-178682-64689-238215-47964
11212,Baby's Day Out,Family-Comedy-Adventure-Crime-Drama,en,Baby Bink couldn't ask for more: he has adoring (if somewhat sickly-sweet) parents lives in a huge mansion and he's just about to appear in the social pages of the paper. Unfortunately not everyone in the world is as nice as Baby Bink's parents—especially the three enterprising kidnappers who pretend to be photographers from the newspaper. Successfully kidnapping Baby Bink they have a harder time keeping hold of the rascal who not only keeps one step ahead of them but seems to be more than a little bit smarter than the three bumbling criminals.,0.9942021307905116,20th Century Fox-Hughes Entertainment,1994-07-01,0.7462686529293828,0.17545218695155088,0.4563106796116504,No Bib. No Crib. No Problem.,0.5102040816326531,0.6114474408365438,Joe Mantegna-Lara Flynn Boyle-Joe Pantoliano-Brian Haley-Cynthia Nixon-Fred Dalton Thompson-John Neville-Matthew Glave-Adam Robert Worton-Jacob Joseph Worton-Brigid Duffy-Guy Hadley-Eddie Bracken-Kenneth L. Jordahl-Raymond Henderson-Jim Foley-Jack Baird-Oscar Carr-Dan Frick-Robin Baber-John Drury-Jennifer Say Gan-Dawn Maxey-Megan Haffey-Roslyn Alexander-Manny Sosa-Jenna Pozzi-Erika Leigh Blackwell-Neil Flynn-William Holmes-Don Rimgale-Warren Rice-Tim Schueneman-Sandra O. Rogers-Kirsten Nelson-John Alexander-Jurgen Heimann-Tom Hester-Mark Setrakian-Marc L. Tyler-Anna Levine Thomson,chicago illinois-gorilla-baby-kidnapping-stupidity-hoodlum-child kidnapping-lost child-baby protagonist-child outsmarts adult,/21U2jwl36hoTHsXB3fDuIQkcchu.jpg,/hq8dZfJEem1SIBCElMAuaJIfl6Q.jpg,361751-29918-332-10631-12139-1634-17414-11011-10054-11077-134375-9822-9745-9073-9714-10603-11806-888-11158-12536-11395
59429,Paranormal Activity: Tokyo Night,Horror-Thriller,ja,Koichi takes care of his sister who has recently returned from a trip abroad in the United States as she is not well. While caring for her he records evidence of ghosts in their home.,0.9921714050267818,IM Global-Cinema Sunshine-Presidio-Musashino Ad,2010-11-20,0.02014923910670506,0.04378014858565039,0.37864077669902907,The nightmare continue...,0.44897959183673486,0.20418271876719865,Aoi Nakamura-Noriko Aoyama-Kosuke Kujirai-Ayako Yoshitani-Kazuyoshi Tsumura-Maaya Morinaga-Tōze Yamada-Shinji Matsubayashi,sequel-mockumentary-ghost-found footage-paranormal activity,/mh7j7XlYWo82UnQGhsxcuyolzp.jpg,/1S6HTRZ8HwuIM8KVNOaycN5WxwX.jpg,41436-227348-72571-82990-146301-23827-609972-49018-50698-91586-280092-76487-11548-77883-71670-38358-134366-146203-10664-80280-185341
60747,Red Dawn,Action-Thriller,en,A city in Washington state awakens to the surreal sight of foreign paratroopers dropping from the sky—shockingly the U.S. has been invaded and their hometown is the initial target. Quickly and without warning the citizens find themselves prisoners and their town under enemy occupation. Determined to fight back a group of young patriots seek refuge in the surrounding woods training and reorganizing themselves into a guerrilla group of fighters.,0.9915239272470422,Metro-Goldwyn-Mayer-20th Century Fox-United Artists-Contrafilm-FilmDistrict-FilmNation Entertainment,2012-03-15,0.9701492532858097,0.4715500108545327,0.3980582524271844,Welcome to the Home of the Brave,0.37979591836734705,0.7578425976884976,Chris Hemsworth-Josh Peck-Josh Hutcherson-Isabel Lucas-Adrianne Palicki-Connor Cruise-Edwin Hodge-Jeffrey Dean Morgan-Michael Beach-Alyssa Diaz-Matt Gerald-Brett Cullen-Julian Alcaraz-Will Yun Lee-Fernando Chien-Kenneth Choi-Michael A. Knight-Steve Lenz-Noah Smith-Lucas Kerr-Linda Boston-Nicholas Yu-Spencer Strong Smith-Rusty Mewha-Brian D. Thibault-Mark Schlereth-Dan Lewis-Choua Kue-Sam Looc-Zachary Schafer-Steven Chan-Dwight Sora-Cindy Chu-Matthew Yang King-Boyuen-Arnold Agee-Mike Ancrile-Vincent Rogo Angelini-Bernadette Balagtas-JB Blanc-Richard 'Rick' Bobier-Ron Causey-P.J. Edwards-Jacquelyn Evola-Jacqueline Forton-Steven Hauptman-Doug Kolbicz-Chris Kotcher-Robert Laenen-Chameria Law-Bill Lumbert-Misty Mills-Stephen Oyoung-Ho-Sung Pak-Courtney Parkinson-Simon Rhee-Amanda Bright-Ron Yuan,sibling relationship-guerrilla warfare-fight-invasion-remake-military-brothers,/aHdxKDX36NOEYE2NyAyP7ThuAcm.jpg,/jFh87Hj9Yp8QQPYmcNBAZNaa4Y.jpg,1880-13200-49526-72431-49849-64635-44833-94348-68684-44943-57165-49529-39514-88751-10107-34544-87826-82675-58595-146216-72545
454619,Overboard,Romance-Comedy,en,A spoiled wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee.,0.9887280004708929,Metro-Goldwyn-Mayer-Pantelion Films-3Pas Studios,2018-04-13,0.17910446535976812,0.9602684532002517,0.5825242718446602,A riches to rags story. If only he could remember it.,0.5714285714285715,0.732526141992295,Anna Faris-Eugenio Derbez-Eva Longoria-John Hannah-Swoosie Kurtz-Mel Rodriguez-Josh Segarra-Hannah Nordberg-Alyvia Alyn Lind-Payton Lepinski-Fernando Luján-Cecilia Suárez-Mariana Treviño-Jesús Ochoa-Omar Chaparro-Adrián Uribe-Edgar Vivar-Per Graffman-Nils Hognestad-Thomas Nicholson-Javier Lacroix-Edwin Perez-Garry Chalk-Morgan Brayton-Darla Fay-Toby Hargrave-Elizabeth Bowen-Eric Keenleyside-Emily Maddison-Cynthia Mendez-Angie Larocque-Michael Karl Richards-Natalia Stenz-Linda Pollard-David Mathews-Kerry O'Donovan-Lia Farrelly-Hodge-Celeste Ziegler-Stephi Chin-Salvo-Tara Erica Moore-Lee Shan Gibson-Guy Christie-Liam Tait-Jody Glenham-Daniel Ruiz-Israel Ogunsakin-Luis Meglar-Malcolm Aiken-Adrian Essiet-Ron Bottitta-Natalie Kay Dunn-Davin Mackay-Kennith Overbey,amnesia-remake-revenge-wealthy-rich,/41Rzkgo9y7n6BNGD6O8j0LVs8Yu.jpg,/xiw4mTeahSbFMUgxapE9lfrBTUd.jpg,10780-521092-497814-510456-497727-411976-448447-354743-550655-410315-548886-29918-424009-444400-495386-614199-582943-43571-75861-33789
535845,Brian Banks,Drama,en,An All-American football player's dreams to play in the NFL are halted when he is falsely accused of rape and sent to prison.,0.9865795514744835,ShivHans Pictures-Gidden Media,2019-08-09,0.14925371864557788,0.04525351932492005,0.4563106796116504,Falsely accused. Wrongfully convicted. Never defeated.,0.7142857142857143,0.09521188772702256,Aldis Hodge-Greg Kinnear-Tiffany Dupont-Sherri Shepherd-Melanie Liburd-Dorian Missick-Xosha Roquemore-Matt Battaglia-Jose Miguel Vasquez-Morgan Freeman-Collin Taylor,biography-sports,/4MnCFcFHYAEMG4NBTUKvjhf5AhU.jpg,/oaOZ3EavXCBKXnkNoVTVZykmoOD.jpg,736918-745608-916740-1028851-524247-579298-934756-786977-785539-527776-773975-197950-799546-262551-774752-484641-852046-501907-491584-727745-556678
72431,Red Tails,Drama-Action-Adventure-History-War,en,The story of the Tuskegee Airmen the first African-American pilots to fly in a combat squadron during World War II.,0.9860792277355934,Lucasfilm Ltd.-20th Century Fox,2012-01-19,0.8656716397861438,0.5300490805051035,0.7087378640776698,High-Octane Action and Daring Dogfights!,0.5510204081632654,0.29168959823885526,Bryan Cranston-David Oyelowo-Cuba Gooding Jr.-Daniela Ruah-Terrence Howard-Andre Royo-Robert Kazinsky-Lee Tergesen-Matthew Leitch-Michael B. Jordan-Method Man-Gerald McRaney-Matthew Marsh-Barnaby Kay-Chris Riedell-Leslie Odom Jr.-Nate Parker-Marcus T. Paulk-Kevin Phillips-Paul Fox-Lars van Riesen-David Gyasi-Josh Dallas-Okezie Morro-Aml Ameen-Nathaniel Martello-White-Anthony Welsh-Rick Otto-Rupert Penry-Jones-Ryan Early-Brian Gross-Ciarán McMenamin-Matthew Alan-Michael Dixon-Paul Hampshire-Leon Ockenden-Dan Hirst-Mark Doerr-Richard Conti-Philip Bulcock-Dave Power-Sam Daly-Justin Irving-Tina D'Marco-Jaime King-Sam Kennard-Tristan Mack Wilds-Ne-Yo,world war ii-fighter pilot-u.s. air force-fighter airplane-tuskegee airmen-1940s-african american history,/jiORLnBsGcVcqIibkGBE213zAyh.jpg,/k0q6OmVjVsMIocC3ovjh1Vzgx7J.jpg,779057-14549-13200-9664-60747-595743-486589-9923-11078-34813-21191-8870-649087-146216-3536-676-39514-12100-3683-618355-75674
315011,Shin Godzilla,Action-Science Fiction-Horror,ja,When a massive gilled monster emerges from the deep and tears through the city the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.,0.9832244393431044,Toho Pictures-Cine Bazar-TOHO,2016-07-29,0.2238805854310535,0.820326584832288,0.6601941747572815,Reality (Japan) vs. Fiction (Godzilla),0.673469387755102,0.5547605943863512,Hiroki Hasegawa-Yutaka Takenouchi-Satomi Ishihara-Kengo Kora-Satoru Matsuo-Mikako Ichikawa-Issey Takahashi-Kanji Tsuda-Shinya Tsukamoto-Toru Nomaguchi-Daisuke Kuroda-Ren Osugi-Kimiko Yo-Akira Emoto-Sei Hiraizumi-Toru Tezuka-Ken'ichi Yajima-Akira Hamada-Ikuji Nakamura-Tetsu Watanabe-Jun Kunimura-Shingo Tsurumi-Jun Hashimoto-Pierre Taki-Takumi Saitoh-KREVA-Ken Mitsuishi-Kyūsaku Shimada-Taro Suwa-Yuu Kamio-Arata Furuta-Morooka Moro-Kôsei Katô-Shohei Abe-Keisuke Koide-Hairi Katagiri-Suzuki Matsuo-Takahiro Miura-Yohta Kawase-Ren Mori-Atsuko Maeda-Kazuo Hara-Isshin Inudo-Akira Ogata-Hideaki Anno-Kihachi Okamoto-Mansai Nomura-Mayumi Ogawa-Katsuhiko Yokomitsu-Yusuke Sugiyama-Shô Oyamada,bureaucracy-japan-monster-nuclear radiation-politics-political incompetence-giant monster-tokyo japan-destruction-reboot-kaiju-political turmoil-human made disaster-nuclear disaster-us japan relations,/jPNShaWZMpVF0iQ7j1dvTuZLD20.jpg,/9nyToPG5mhfm4KiPGChu35jH9QZ.jpg,39464-39469-12561-1678-36243-12636-18289-39466-39465-39256-6593-38582-18627-10643-1682-36679-39264-15767-1680-19333-39468
