id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
351357,The Chipper Chipmunk,Animation,en,A Terrytoons cartoon released 9 March 1948.,0.6,,1948-03-09,0.0,0.0,6.0,Released,,0.0,0.0,,,,,
805617,bien,,fr,,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
819535,The Marriage of Figaro,Music,it,,0.6,Southern Television,1974-05-21,0.0,0.0,0.0,Released,,0.0,0.0,Knut Skram-Ileana Cotrubas-Benjamin Luxon-Kiri Te Kanawa-Frederica von Stade-Marius Rintzler-Nucci Condo-John Fryatt-Bernard Dickerson-Thomas Lawlor-Elizabeth Gale-London Philharmonic Orchestra-John Pritchard,,/e4KktQRQscoGynVvDwBDJtb98cm.jpg,,
813369,Dancing Alone,Drama,en,Crippled by grief after the sudden death of her partner Tina Jennifer has become trapped in her house with her memories. It takes something special to give her the impetus to move on,0.6,,2019-09-15,0.0,0.0,15.0,Released,"Crippled by grief, trapped in her house, Jennifer finds courage to move on.",0.0,0.0,Jane Marlow-Mary Conlon-Karen Lawman,,/tRThci7z9Cq6VdvBfrnInQOm4I2.jpg,,
350353,하얀 미소,,ko,,0.6,,1981-08-30,0.0,0.0,,Released,,0.0,0.0,,,,,
815275,The Zucchini's Smile,Animation,fr,Myia and Aristote live from gluglu hunting. These cloud-animals allow them to grow courgettes in the desert. One day Myia falls in love with one of them …,0.6,Atelier de Sèvres,2021-06-23,0.0,0.0,8.0,Released,,0.0,0.0,,,/iZxema85JdnFow0dQmNPd6Hjb4A.jpg,/ytGQjrwrtWYablCwKoeqtqvHoZb.jpg,
824664,60,,xx,Hiroshi Yamazaki 16mm 1'00,0.6,,1973-01-01,0.0,0.0,1.0,Released,,0.0,0.0,,,/jJiy1j6QKClNgOdrxRiDMQKFLJJ.jpg,,
805064,Rats!,Comedy-Horror,en,,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,/w50dU26NjrjCdmIo6limDQW59iB.jpg,,
821756,Pionýr,,cs,,0.6,Studio populárně vědeckých a naučných filmů Brno,1951-01-01,0.0,0.0,0.0,Released,,0.0,0.0,Oldřich Lukeš-Valerie Kaplanová-Rudolf Jurda-Zlatko Formánek-Renáta Kurfürstová-Pavel Kurfürst-Eva Kubešová,educational,,,
355806,Sirens of the Sea,,en,,0.6,Cine Art,1928-01-01,0.0,0.0,3.0,Released,,0.0,0.0,,silent film-erotic movie,,,
820166,Cholera v Praze,Comedy,cs,,0.6,Illusion,1914-01-16,0.0,0.0,0.0,Released,,0.0,0.0,Antonín Michl-Katy Kaclová-Vališová-František Fořt-Rudolf Innemann-Miroslav Innemann,lost film,,,
824957,Using The Camera,,en,How do you actually make a home movie? This instructional film from Kodak has all the answers from how to load film while avoiding exposure problems to positioning the camera for the best results. Clear diagrams concise instructions and practical examples will have you well on your way to impressing the audience at home. Smartphone movie makers could learn a thing or two!,0.6,,,0.0,0.0,17.0,Released,,0.0,0.0,,,,,
819005,Main Hoon Jadugar,Fantasy-Adventure,hi,A special effects/fantasy/adventure film based on a folk tale,0.6,Ashoka Films,1965-04-07,0.0,0.0,131.0,Released,,0.0,0.0,Paidi Jairaj-Chitra-Bhushan Tiwari-Maruti-Tun Tun,,/r1nDTjGjFjLrhmfYYA52vhx32NO.jpg,,
820402,The Day When Mother Nature Hit Me,Animation,en,A short animation from Flóra Anna Buda,0.6,,2015-01-01,0.0,0.0,3.0,Released,,0.0,0.0,,,/iqQImYc9kDVjnDRU2iv0oZkkxcV.jpg,,
826947,ATTACK FROM THE FAR EAST 3,,ja,,0.6,,2020-04-22,0.0,0.0,0.0,Released,,0.0,0.0,Ken Yokoyama-Akihiro Namba-Akira Tsuneoka,,/zg7qcKfIszHeS8C6scGyjPRvrUY.jpg,,
817080,Warm Milk,Comedy,en,A man attempts to steal the last glass of milk from his roommate.,0.6,,2019-11-22,0.0,0.0,5.0,Released,,0.0,0.0,Jacob Saenger-Colin Spalten,,,,
827962,Ultimo - 04 luglio - LA FAVOLA - Stadio Olimpico,,it,,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,/jK6Uf0IFUn7mNjBtnuEAxzhjS25.jpg,,
844284,REVISTA DO CINEMA BRASILEIRO #77,,en,,0.6,,2000-06-29,0.0,0.0,48.0,Released,,0.0,0.0,,,/hRq1OZdMasdGwdFgHhTduvvHQ2H.jpg,,
822861,Middle Point,Drama,en,A refugee couple with a baby walks out of the sea wailing in anguish. The mother of the child realises that the baby has died or so it seems…,0.6,,2020-01-01,0.0,0.0,3.0,Released,,0.0,0.0,Irmak Öztas-Ozan Emrah Çayci,,/55TDu9dIxDJIYHlP1V4KRVUNDMW.jpg,,
815622,Calibre mortal,,es,,0.6,,2006-12-31,0.0,0.0,0.0,Released,,5.0,1.0,,,,,
809318,Ronuwa,,as,Although Makon did not study much the lessons that life has taught her are now the basis of her existence. It has inspired her in overcoming hardships and has enabled her to bear all pain. She has learn that life is a school in itself which provides all the answers one seeks. Her little world comprises her husband Jadhav a boy and a girl who are nine-ten year old. A cycle rickshaw puller Jadhav earns barely enough to support his family. Makon runs a small shop along the footpath. Besides fulfilling their responsibilities towards their household they manage to send their children to a government school. They have greater aspirations for their children.,0.6,Reeldrama Production Private,2021-08-15,0.0,0.0,0.0,Released,,0.0,0.0,Rajiv Kro-Pranami Bora-Rodali Bora-Barnali Dutta,,/prNmYRHhu9iVcZVAQkrPDBJQeGD.jpg,,
353943,To Cross the Line,Crime,ru,Inspector Vladimir Sazhin investigates an unusual case.,0.6,Lentelefilm,1985-06-01,0.0,0.0,180.0,Released,,4.7,3.0,Vadim Lobanov-Tatyana Vasileva-Хенрикас Кураускас-Sergey Andreychuk-Sergey Vlasov-Viktor Miroshnichenko-Gali Abaydulov-Владимир Данилин-Konstantin Kinchev-Pavel Pervushin-Igor Ozerov,,/lqEYeXByLrrI2Pwl9Nye9Xg0zK2.jpg,,
356017,Album d'Aprile,History,it,,0.6,,2008-02-01,0.0,0.0,0.0,Released,,9.3,2.0,Marco Paolini,,,,
824961,747,,en,Chris Burden’s 747 re-performed in Grand Theft Auto IV.,0.6,,2011-01-01,0.0,0.0,1.0,Released,,0.0,0.0,,,,,
808529,Honey Bunny,,en,Beautiful women spinning in circles.,0.6,,2001-08-02,0.0,0.0,4.0,Released,,0.0,0.0,Vincent Gallo-Paris Hilton,,/tKvf3Z59xpc7Qu5VJM1IeVW1aJO.jpg,,
823186,Sunday,Drama,es,One Sunday night a guy named Marco writes a letter in which he recounts all the bad moments on the Sundays of his life.,0.6,Thee Room-Azteca's Film,2021-04-26,30.0,0.0,7.0,Released,,10.0,1.0,Jeffrey Martínez-Shirleth Rodríguez-Efraín Mendez-Isela Mendez,domingo,/c1ME9Kj4L7728SdvBlk8z93gl5j.jpg,,
821713,Losers: A Film About Loss,Documentary,nl,Everyone has to deal with loss at some point in life. And however large or small that loss may be it always hurts. The three young children in this somewhat stylized film can attest to this and they do candidly and in detail. Their experiences are all different as are their ways of dealing with them: whether it's losing a favorite stuffed animal an important fencing tournament or an older sister. Fillmaker Arianne Hinz handles all of these losses with the seriousness they deserve. The children place the event in context against the background of the places where the loss is felt most keenly: a tent made from blankets and towels the gym where the fencing matches are held and the stables where the deceased sister’s favorite horse is kept. The children roam around in a dreamlike lost and found looking for something that can illlustrate the sense of loss that can fill the void or replace what is no more. But this is an impossible task: “A little piece of your heart is missing.”,0.6,Hazazah Pictures,2014-10-14,0.0,0.0,16.0,Released,,5.0,1.0,,,/lVTv3R4FwSIsuh6rf6K4v1zB0W8.jpg,,
824446,Just Fucked,Drama,ta,"""The dilemma to or not to abort a baby arises among a couple who are in live-in relationship conflicting over their Cultural/political/economical ideologies the voice of women in a modern relationship.""",0.6,,2021-03-25,0.0,0.0,16.0,Released,,8.0,1.0,Sudharshan Govind-Shrisha,,/lNYBWii6LGIG0D0wHN8wEYbPl1J.jpg,/uKl3YbaKZycZDzC5iPe5i7bo3nB.jpg,
